npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0105412E7,SDN Meruya Utara 03 Pg.,"Jl. Sanggrahan, Meruya Utara, Kembangan",320.0,14.0,"Hj. Sopiah, S.Pd",5870228.0,Baik,A
2.0101374E7,SDN Meruya Utara 04 Pt.,"Jl. Sanggrahan, Meruya Utara, Kembangan",216.0,9.0,"RIANTI ASNI, S.Pd",5870228.0,Baik,B
2.0101373E7,SDN Meruya Utara 05 Pg.,"Jl. Meruya Utara, Meruya Utara, Kembangan",431.0,17.0,"Hj. ULFAH NURHAYATI,S.Pd,MM",5856060.0,Baik,A
2.0101372E7,SDN Meruya Utara 06 Pt.,"Jl. Meruya Utara, Meruya Utara, Kembangan",394.0,13.0,,2.15890647E9,Padat/Kumuh,B
2.0105416E7,SDN Meruya Utara 07 Pg.,"Jl. Sanggrahan Komplek SMA 112 Kec.Kembangan, Meruya Utara, Kembangan",247.0,12.0,Drs.H.Ahmad.MM,2.158904827E9,Baik,B
2.0105417E7,SDN Meruya Utara 08 Pg.,"Jl. Meruya Selatan, Meruya Utara, Kembangan",258.0,10.0,"Lenceria Marbun, M.Pd",5864615.0,Baik,B
2.0105418E7,SDN Meruya Utara 09 Pg.,"Jl. Jomas No.9A, Meruya Utara, Kembangan",313.0,14.0,"Tatang, S.PD.MM",2.15863978E8,Baik,B
2.0105419E7,SDN Meruya Utara 10 Pg.,"Jl. Jomas Rt. 002/ 05, Meruya Utara, Kembangan",319.0,12.0,"Nuraini, S. Pd.MM",5868238.0,Padat/Kumuh,B
2.0101449E7,SDN Meruya Utara 11 Pt.,"Jl. Meruya Utara Rt. 004/ 04, Meruya Utara, Kembangan",245.0,12.0,"Hj. ROSNANI, S.Pd.,MM",2.158900763E9,Baik,B
2.0105421E7,SDN Meruya Utara 12 Pg.,"Jl. Aries Utama Blok F/ 12, Meruya Utara, Kembangan",434.0,14.0,"H.EFI SAEFI, S.Pd.MM",2.15873756E8,Baik,B
